0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-5.1875,-6.5,-4.15625,-3.4375,-3.28125,-6.0,-5.21875,-5.90625,-4.21875,-3.640625,-5.21875,-4.46875,-3.328125,-5.5,-5.46875,-2.15625,-5.1875,-3.953125,-2.5625,-5.25,-5.28125,-5.28125,-4.9375,-4.9375,-1.53125,-4.75,-2.75,-3.359375,-5.34375,-2.390625,-3.4375,0.90625
-3.203125,-4.46875,-3.90625,-3.0625,-4.3125,-2.453125,-4.09375,-4.78125,-4.59375,-4.78125,-4.53125,-4.8125,-5.40625,-2.671875,-3.109375,-3.90625,-5.03125,-3.921875,-1.4921875,-3.53125,-3.59375,-3.875,-2.703125,-2.96875,-3.0,-1.9296875,-1.3203125,-4.375,-2.84375,-2.015625,-2.109375,-4.6875
-7.15625,-4.21875,-5.28125,-4.9375,-4.6875,-3.765625,-5.8125,-3.046875,-3.15625,-3.265625,-4.0625,-2.75,-2.828125,-3.921875,-5.5,-4.46875,-5.125,-6.15625,-5.6875,-4.375,-3.671875,-6.15625,-4.28125,-2.15625,-5.0,-4.46875,-0.25390625,-1.984375,-2.75,-2.671875,-5.90625,-4.65625
-3.765625,-4.625,-5.28125,-5.3125,-1.15625,-1.1171875,-5.5,-3.5625,-3.53125,-4.0625,-4.3125,-4.0625,-5.125,-3.5,-4.96875,-3.125,-4.75,-3.90625,-5.65625,-2.984375,-2.484375,-5.1875,-1.6953125,-1.5859375,-4.96875,-2.984375,-2.84375,-1.828125,-2.953125,-4.8125,-3.9375,-3.6875
-4.78125,-5.46875,-5.28125,-4.78125,-2.390625,-3.84375,-4.5625,-2.75,-3.796875,-3.125,-3.484375,-5.125,-5.65625,-3.546875,-4.25,-3.046875,-5.8125,-1.8203125,-6.15625,-2.171875,-4.75,-5.28125,-2.546875,-3.578125,-4.8125,-4.78125,-4.53125,-4.03125,0.0634765625,-3.40625,-2.53125,-1.90625
-3.1875,-5.625,-4.65625,-4.28125,-3.0625,-6.9375,-4.71875,-3.96875,-5.15625,-3.359375,-4.0625,-4.34375,-5.25,-5.40625,-3.59375,-2.4375,-5.625,-5.53125,-3.1875,-4.96875,-4.875,-4.71875,-4.65625,-4.5625,-3.0625,-2.703125,-4.1875,-3.34375,-5.0625,-0.66015625,-4.84375,-1.203125
-4.90625,-7.53125,-5.40625,-4.65625,-4.96875,-3.0625,-4.8125,-3.734375,-1.7421875,-3.40625,-2.5,-4.78125,-2.4375,-3.21875,-5.03125,-4.6875,-4.4375,-5.5,-2.890625,-3.734375,-4.4375,-3.15625,-4.3125,-3.96875,-2.0625,-0.96875,-4.6875,-3.84375,-2.921875,-3.09375,-2.8125,-2.75
-4.5625,-4.75,-5.0,-5.71875,-4.0,-3.359375,-4.40625,-2.734375,-3.125,-2.1875,-3.15625,-4.71875,-5.8125,-4.28125,-4.125,-5.0625,-2.78125,-4.84375,-1.4375,-3.1875,-5.53125,-4.40625,-1.0078125,-3.390625,-3.875,-1.2265625,-1.5703125,-4.5,-2.53125,-2.640625,0.90625,-2.453125
-3.265625,-2.859375,-4.625,-1.6484375,-4.96875,-4.71875,-4.5625,-3.9375,-4.0625,-2.4375,-4.625,-5.21875,-5.46875,-3.609375,-4.15625,-5.59375,-4.96875,-4.625,-4.875,-2.765625,-2.328125,-1.7734375,-4.8125,-5.0625,-3.109375,-4.59375,-4.6875,-4.96875,-3.234375,-4.375,-4.6875,-3.234375
-4.9375,-4.8125,-2.796875,-5.46875,-2.078125,-3.78125,-3.984375,-5.28125,-5.09375,-3.0625,-4.5625,-4.375,-5.21875,-3.515625,-4.5,-4.03125,-5.40625,-3.34375,-5.3125,-3.0625,-3.21875,-1.703125,-3.15625,-2.046875,-4.71875,-4.65625,-1.0703125,-4.71875,-3.90625,-1.6484375,-1.421875,-1.9375
